company,state,industry,type,location,off,dayopen,dayclose,holopen,holclose,TelNo,lapti,longit
제트라인모터스,서초구,정비업소,손세차,서초구 동산로2길 28 (양재동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2707,37.4685879,127.042336
현대오일뱅크㈜직영 사평로주유소,서초구,주유소,자동세차,서초구 사평대로 350 (서초동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2708,37.502894,127.0215252
대성석유㈜ 연일주유소,서초구,주유소,자동세차,서초구 남부순환로 2451 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-828-2709,37.4826019,127.0185804
대성산업㈜ 터미널주유소,서초구,주유소,자동세차,서초구 신반포로 222 (반포동),연중무휴,9:00,18:00,9:00,18:00,02-828-2710,37.5069117,127.0087506
카플러스,서초구,정비업소,손세차,서초구 효령로 346 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-461-6717,37.4862826,127.0218788
발전카세차장,서초구,세차장,손세차,서초구 명달로4길 9 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-465-1721,37.480274,127.0064308
서초남부점 기아오토큐,서초구,정비업소,손세차,서초구 서초대로42길 70 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-463-1080,37.4889971,127.0097816
서초동부점 현대자동차,서초구,정비업소,손세차,서초구 서초대로42길 55 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-467-6669,37.4896617,127.0097886
오토하우스,서초구,정비업소,손세차,서초구 효령로 169 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-462-5180,37.4826793,127.0026043
대신석유㈜ 서원주유소,서초구,주유소,자동세차,서초구 반포대로 142 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-445-9988,37.4927546,127.007577
현대오일뱅크㈜직영 서초제일주유소,서초구,주유소,자동세차,서초구 사임당로 116 (서초동),일요일,9:00,18:00,null,null,02-466-8833,37.4905777,127.0226421
극동유화(주)전당앞주유소,서초구,주유소,자동세차,서초구 남부순환로 2391(서초동),일요일,9:00,18:00,null,null,02-445-5108,37.4805759,127.0119879
동양자동차,서초구,정비업소,손세차,서초구 마방로 42 (양재동),일요일,9:00,18:00,null,null,02-452-6344,37.4760646,127.0423221
르노삼성자동차 양재개포점,서초구,정비업소,손세차,서초구 마방로 50 (양재동),일요일,9:00,18:00,null,null,02-461-6751,37.476602,127.0427636
스마일세차장,서초구,세차장,손세차,서초구 논현로 13 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-445-8190,37.4723024,127.0496637
남서울주유소,서초구,주유소,자동세차,서초구 나루터로 83(잠원동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-828-2703,37.516155,127.0188827
씨앤아이 멀티샵,서초구,세차장,손세차,서초구 언남길 58 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-471-5182,37.4738503,127.0437669
태건석유㈜양재최고주유소,서초구,주유소,자동세차,서초구 매헌로 72 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-443-5151,37.4672038,127.0347286
카랜드,서초구,정비업소,손세차,서초구 서초대로 78 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-442-9408,37.4866098,126.9908824
현대공업사,서초구,정비업소,손세차,서초구 명달로 98 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-461-4651,37.4859874,127.0042744
일동자동차공업사,서초구,정비업소,손세차,서초구 바우뫼로27길 7-17 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-461-1411,37.4766454,127.0358158
㈜한독모터스 방배영업소,서초구,주유소,자동세차,서초구 방배로 214 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-443-3638,37.4924012,126.990201
㈜태림석유 선천주유소,서초구,주유소,자동세차,서초구 동작대로 206 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-467-0303,37.4949358,126.9832168
넥센타이어테크 강남총판점,서초구,정비업소,손세차,서초구 주흥3길 30 (반포동),연중무휴,9:00,18:00,9:00,18:00,02-445-0350,37.5043273,127.0188842
청진자동차정비㈜,서초구,정비업소,손세차,서초구 과천대로 904-6 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-463-7513,37.4716192,126.9840612
엘앤티렉서스㈜ 서초지점,서초구,정비업소,손세차,서초구 반포대로 77 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-463-8976,37.4869854,127.0094799
삼성카크리닉,서초구,주유소,자동세차,서초구 효령로 19 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-452-4310,37.4776687,126.9869434
㈜선문에너지(중앙주유소),서초구,주유소,자동세차,서초구 바우뫼로 219 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-468-6285,37.4815752,127.0422394
양재점 현대자동차,서초구,정비업소,손세차,서초구 매헌로 50 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-462-2929,37.465295,127.0345293
대국세차장,서초구,정비업소,손세차,서초구 사평대로 102 (반포동),연중무휴,9:00,18:00,9:00,18:00,032-575-8181,37.4987712,126.9957928
오토케어,서초구,정비업소,손세차,서초구 바우뫼로 202 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-445-4345,37.4799819,127.0416722
양재동부점 현대자동차,서초구,정비업소,손세차,서초구 바우뫼로 187 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-442-8882,37.4793016,127.0401002
서초서부점 현대자동차,서초구,정비업소,손세차,서초구 서운로 14 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-442-8883,37.4854035,127.0297919
서초중부점 현대자동차,서초구,정비업소,손세차,서초구 효령로 348 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-442-8884,37.4862825,127.0221891
내방자동차공업사,서초구,정비업소,손세차,서초구 서초대로 45 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-442-8885,37.4862512,126.9874025
쌍용자동차 방배서비스프라자,서초구,정비업소,손세차,서초구 서초대로 72 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-442-8886,37.4864042,126.9902947
카랜드,서초구,정비업소,손세차,서초구 서초대로 78 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-442-8887,37.4866098,126.9908824
기성세차장,서초구,세차장,손세차,서초구 강남대로101안길 44 (잠원동),연중무휴,9:00,18:00,9:00,18:00,02-452-0671,37.5160731,127.0164029
현대오일뱅크㈜ 직영방배현대주유소,서초구,주유소,자동세차,서초구 동작대로 182 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-442-8888,37.4927683,126.9833262
㈜서예,서초구,주유소,자동세차,서초구 효령로 327 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-442-8889,37.4863638,127.0199812
오토테크,서초구,주유소,자동세차,서초구 효령로 356 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-442-8890,37.486491,127.0230852
